Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Rate Class,Bill Analyzed,Consumption (HCF),Water&Sewer Charges,Other Charges,BBL
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 08,AMR,BLD 08,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6586989,2/1/2018 0:00,1/24/2018,2/22/2018,29,K16805260,N         ,2249.88,Basic Water and Sewer,Yes,228,"$2,249.88 ",$0.00 ,3014710014
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 03,AMR,BLD 03,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6590437,2/1/2018 0:00,1/23/2018,2/21/2018,29,E14020164,N         ,1282.83,Basic Water and Sewer,Yes,130,"$1,282.83 ",$0.00 ,3014700039
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 05,AMR,BLD 05,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6589975,2/1/2018 0:00,1/23/2018,2/21/2018,29,O78777952,N         ,3029.45,Basic Water and Sewer,Yes,307,"$3,029.45 ",$0.00 ,3014700011
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 02,AMR,BLD 02,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6589255,2/1/2018 0:00,1/24/2018,2/22/2018,29,E19234608,Y         ,3582.05,Basic Water and Sewer,Yes,363,"$3,582.05 ",$0.00 ,3014700035
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 07,AMR,BLD 07,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6595536,2/1/2018 0:00,1/23/2018,2/21/2018,29,E15220551,N         ,3818.88,Basic Water and Sewer,Yes,387,"$3,818.88 ",$0.00 ,3014710001
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 06,AMR,BLD 06,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6590011,2/1/2018 0:00,1/23/2018,2/20/2018,28,E15220559,N         ,2753.14,Basic Water and Sewer,Yes,279,"$2,753.14 ",$0.00 ,3014700015
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 13,AMR,BLD 13,367,806,B036700,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6592474,2/1/2018 0:00,1/23/2018,2/21/2018,29,E13304663,N         ,4963.55,Basic Water and Sewer,Yes,503,"$4,963.55 ",$0.00 ,2027610003
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 03,AMR,,367,806,B036700,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6590056,2/1/2018 0:00,1/23/2018,2/21/2018,29,O78997326,N         ,5239.85,Basic Water and Sewer,Yes,531,"$5,239.85 ",$0.00 ,2027400027
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 10,AMR,,367,806,B036700,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,6585925,2/1/2018 0:00,1/25/2018,2/21/2018,27,O78997343,N         ,3532.71,Basic Water and Sewer,Yes,358,"$3,532.71 ",$0.00 ,2027400013
INGERSOLL,BROOKLYN,INGERSOLL,BLD 35,NONE,,14,510,K001400,,NY005000140P,NEW YORK CITY WATER BOARD,6588133,2/1/2018 0:00,1/24/2018,2/22/2018,29,D60034850,Y         ,36.8,Basic Water and Sewer,Yes,1,$36.80 ,$0.00 ,3020500001
INTERNATIONAL TOWER,QUEENS,INTERNATIONAL TOWER,BLD 01,AMR,BLD 01,316,296,Q031600,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,6590545,2/1/2018 0:00,1/23/2018,2/21/2018,29,E13090623,N         ,11436.9,Basic Water and Sewer,Yes,1159,"$11,436.90 ",$0.00 ,4098020041
LOWER EAST SIDE II,MANHATTAN,LOWER EAST SIDE II,BLD 04,AMR,BLD 04,337,783,M033700,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,6590526,2/1/2018 0:00,1/23/2018,2/21/2018,29,A06002042,N         ,7124.62,Basic Water and Sewer,Yes,722,"$7,124.62 ",$0.00 ,1003750001
LOWER EAST SIDE II,MANHATTAN,LOWER EAST SIDE II,BLD 05,AMR,BLD 05,337,783,M033700,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,6590526,2/1/2018 0:00,1/23/2018,2/21/2018,29,K16795588,N         ,2812.35,Basic Water and Sewer,Yes,285,"$2,812.35 ",$0.00 ,1003750001
LOWER EAST SIDE II,MANHATTAN,LOWER EAST SIDE II,BLD 03,AMR,BLD 03,337,783,M033700,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,6590015,2/1/2018 0:00,1/23/2018,2/21/2018,29,I13012733,N         ,8052.21,Basic Water and Sewer,Yes,816,"$8,052.21 ",$0.00 ,1003870020
LOWER EAST SIDE II,MANHATTAN,LOWER EAST SIDE II,BLD 05,AMR,BLD 05,337,783,M033700,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,6606706,2/1/2018 0:00,6/30/2017,2/21/2018,236,E15958343,N         ,81429.91,Basic Water and Sewer,Yes,8252,"$81,429.91 ",$0.00 ,1003750045
LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,LOWER EAST SIDE REHAB (GROUP 5),BLD 02,AMR,"BLD 02, STORE 04-05",292,555,M029200,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,6592673,2/1/2018 0:00,1/24/2018,2/22/2018,29,I11009041,Y         ,3029.45,Basic Water and Sewer,Yes,307,"$3,029.45 ",$0.00 ,1003890032
LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,LOWER EAST SIDE REHAB (GROUP 5),BLD 01,AMR,"BLD 01, STORE 01-03",292,555,M029200,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,6590046,2/1/2018 0:00,1/23/2018,2/21/2018,29,G13031843,N         ,11229.67,Basic Water and Sewer,Yes,1138,"$11,229.67 ",$0.00 ,1003890038
MANHATTANVILLE REHAB (GROUP 2),MANHATTAN,MANHATTANVILLE REHAB (GROUP 2),BLD 03,AMR,STORE 01-02,296,557,M029600,FEDERAL,NY005010810P,NEW YORK CITY WATER BOARD,6592889,2/1/2018 0:00,1/23/2018,2/21/2018,29,K16839989,N         ,759.83,Basic Water and Sewer,Yes,77,$759.83 ,$0.00 ,1019880031
MARCY AVENUE-GREENE AVENUE SITE B,BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE B,BLD 03,NONE,,358,804,K035800,FEDERAL,NY005013590P,NEW YORK CITY WATER BOARD,6579239,2/1/2018 0:00,1/18/2018,2/19/2018,32,E15220520,N         ,3542.58,Basic Water and Sewer,Yes,359,"$3,542.58 ",$0.00 ,3017980001
MARLBORO,BROOKLYN,MARLBORO,BLD 29,AMR,BOILER PLANT,83,426,K008300,MIXED FINANCE/LLC1,NY005020830P,NEW YORK CITY WATER BOARD,6590039,2/1/2018 0:00,1/23/2018,2/21/2018,29,E14262604,N         ,10923.77,Basic Water and Sewer,Yes,1107,"$10,923.77 ",$0.00 ,3071400016
MELROSE,BRONX,MELROSE,BLD 09 - Community Center,AMR,Community Center,28,523,B202800,FEDERAL,NY005010280P,NEW YORK CITY WATER BOARD,6593395,2/1/2018 0:00,1/23/2018,2/21/2018,29,N31934550,N         ,108.55,Basic Water and Sewer,Yes,11,$108.55 ,$0.00 ,2024130001
NOSTRAND,BROOKLYN,NOSTRAND,BLD 17,NONE,,43,585,K004300,FEDERAL,NY005010360P,NEW YORK CITY WATER BOARD,6689539,2/1/2018 0:00,2/5/2018,3/12/2018,35,O78610277,N         ,0,Basic Water and Sewer,Yes,2254,$0.00 ,$0.00 ,3073890001
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,6587075,2/1/2018 0:00,1/24/2018,2/22/2018,29,N51387763,Y         ,36.8,Basic Water and Sewer,Yes,1,$36.80 ,$0.00 ,4158900066
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,6588138,2/1/2018 0:00,1/24/2018,2/22/2018,29,R32599613,Y         ,36.8,Basic Water and Sewer,Yes,1,$36.80 ,$0.00 ,4158900064
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,6587069,2/1/2018 0:00,1/24/2018,2/22/2018,29,N51387759,Y         ,36.8,Basic Water and Sewer,Yes,1,$36.80 ,$0.00 ,4158900054
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,6588130,2/1/2018 0:00,1/24/2018,2/22/2018,29,N31677722,Y         ,36.8,Basic Water and Sewer,Yes,1,$36.80 ,$0.00 ,4158900054
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 02,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6590037,2/1/2018 0:00,1/23/2018,2/21/2018,29,V84010220,N         ,5486.55,Basic Water and Sewer,Yes,556,"$5,486.55 ",$0.00 ,3014310043
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 01,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6593524,2/1/2018 0:00,1/23/2018,2/21/2018,29,E13304206,N         ,3907.69,Basic Water and Sewer,Yes,396,"$3,907.69 ",$0.00 ,3014310037
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 05,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6589996,2/1/2018 0:00,1/25/2018,2/21/2018,27,E13304630,N         ,1608.47,Basic Water and Sewer,Yes,163,"$1,608.47 ",$0.00 ,3014390001
PARK ROCK REHAB,BROOKLYN,PARK ROCK REHAB,BLD 06,AMR,,351,765,K035100,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6590035,2/1/2018 0:00,1/23/2018,2/21/2018,29,O78779238,N         ,3207.07,Basic Water and Sewer,Yes,325,"$3,207.07 ",$0.00 ,3013730049
POLO GROUNDS TOWERS,MANHATTAN,POLO GROUNDS TOWERS,BLD 08 - Community Center,AMR,Community Center,149,260,M214900,FEDERAL,NY005001490P,NEW YORK CITY WATER BOARD,6589995,2/1/2018 0:00,1/23/2018,2/21/2018,29,V84010435,N         ,404.58,Basic Water and Sewer,Yes,41,$404.58 ,$0.00 ,1021060003
QUEENSBRIDGE NORTH,QUEENS,QUEENSBRIDGE NORTH,BLD 11,AMR,,505,398,Q050500,FEDERAL,NY005005050P,NEW YORK CITY WATER BOARD,6592792,2/1/2018 0:00,1/23/2018,2/21/2018,29,E14032543,N         ,7578.55,Basic Water and Sewer,Yes,768,"$7,578.55 ",$0.00 ,4004700100
QUEENSBRIDGE SOUTH,QUEENS,QUEENSBRIDGE SOUTH,BLD 14&16,NONE,STORE 14-20,5,843,Q000500,FEDERAL,NY005000050P,NEW YORK CITY WATER BOARD,6592638,2/1/2018 0:00,1/24/2018,2/22/2018,29,K98782668,Y         ,3443.9,Basic Water and Sewer,Yes,349,"$3,443.90 ",$0.00 ,4004650100
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 04,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6590388,2/1/2018 0:00,1/24/2018,2/21/2018,28,O78610280,N         ,4766.2,Basic Water and Sewer,Yes,483,"$4,766.20 ",$0.00 ,3035080050
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 03,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6590533,2/1/2018 0:00,1/24/2018,2/22/2018,29,V84005705,Y         ,3542.58,Basic Water and Sewer,Yes,359,"$3,542.58 ",$0.00 ,3035080046
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 03,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6754191,2/1/2018 0:00,2/22/2018,3/12/2018,18,V84005705,N         ,2200.54,Basic Water and Sewer,Yes,223,"$2,200.54 ",$0.00 ,3035080046
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 01,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6592983,2/1/2018 0:00,1/24/2018,2/22/2018,29,V83029959,Y         ,2249.88,Basic Water and Sewer,Yes,228,"$2,249.88 ",$0.00 ,3035080038
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 05,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6589259,2/1/2018 0:00,1/24/2018,2/22/2018,29,O78997328,Y         ,1194.02,Basic Water and Sewer,Yes,121,"$1,194.02 ",$0.00 ,3035080054
NOSTRAND,BROOKLYN,NOSTRAND,BLD 17,NONE,,43,585,K004300,FEDERAL,NY005010360P,NEW YORK CITY WATER BOARD,6921608,2/1/2018 0:00,3/12/2018,3/12/2018,0,O78610277,N         ,0,Basic Water and Sewer,Yes,0,$0.00 ,$0.00 ,3073890001
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 02,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6590001,2/1/2018 0:00,1/24/2018,2/21/2018,28,O78610319,N         ,1440.71,Basic Water and Sewer,Yes,146,"$1,440.71 ",$0.00 ,3035080042
RED HOOK EAST,BROOKLYN,RED HOOK EAST,BLD 26 - Community Center,NONE,Community Center,4,202,K200400,FEDERAL,NY005000040P,NEW YORK CITY WATER BOARD,6588124,2/1/2018 0:00,1/24/2018,2/22/2018,29,K98974961,Y         ,315.77,Basic Water and Sewer,Yes,32,$315.77 ,$0.00 ,3005380001
REHAB PROGRAM (COLLEGE POINT),QUEENS,REHAB PROGRAM (COLLEGE POINT),BLD 01,AMR,,143,297,Q014300,FEDERAL,NY005011860P,NEW YORK CITY WATER BOARD,6600172,2/1/2018 0:00,1/18/2018,2/19/2018,32,K13151725,N         ,878.24,Basic Water and Sewer,Yes,89,$878.24 ,$0.00 ,4041700001
REHAB PROGRAM (TAFT REHABS),MANHATTAN,REHAB PROGRAM (TAFT REHABS),BLD 03,AMR,BLD 03 - STORE 2-4,516,293,M051600,FEDERAL,NY005013170P,NEW YORK CITY WATER BOARD,6590445,2/1/2018 0:00,1/23/2018,2/21/2018,29,V31983271,N         ,15068.28,Basic Water and Sewer,Yes,1527,"$15,068.28 ",$0.00 ,1019230029
REID APARTMENTS,BROOKLYN,REID APARTMENTS,BLD 01,AMR,,167,283,K016700,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6603459,2/1/2018 0:00,1/24/2018,2/22/2018,29,O75744363,Y         ,41543.86,Basic Water and Sewer,Yes,4210,"$41,543.86 ",$0.00 ,3047950016
REID APARTMENTS,BROOKLYN,REID APARTMENTS,BLD 01,AMR,,167,283,K016700,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6603459,2/1/2018 0:00,1/30/2018,2/21/2018,22,O77903108,N         ,27.92,Basic Water and Sewer,Yes,1,$27.92 ,$0.00 ,3047950016
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 30,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6589311,2/1/2018 0:00,1/23/2018,2/21/2018,29,V31665667,N         ,937.45,Basic Water and Sewer,Yes,95,$937.45 ,$0.00 ,1020110014
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 18,AMR,STORE 01,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6589310,2/1/2018 0:00,1/23/2018,2/21/2018,29,G13036219,N         ,2723.54,Basic Water and Sewer,Yes,276,"$2,723.54 ",$0.00 ,1020120001
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 23,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6589312,2/1/2018 0:00,1/23/2018,2/21/2018,29,V31655205,N         ,1884.77,Basic Water and Sewer,Yes,191,"$1,884.77 ",$0.00 ,1020120015
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 01,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6589313,2/1/2018 0:00,1/23/2018,2/21/2018,29,G13035140,N         ,2496.58,Basic Water and Sewer,Yes,253,"$2,496.58 ",$0.00 ,1020130026
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 13,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6589319,2/1/2018 0:00,1/23/2018,2/21/2018,29,G13039021,N         ,2111.73,Basic Water and Sewer,Yes,214,"$2,111.73 ",$0.00 ,1020150005
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 45,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6592531,2/1/2018 0:00,1/23/2018,2/21/2018,29,A08000399,N         ,2772.88,Basic Water and Sewer,Yes,281,"$2,772.88 ",$0.00 ,1020070043
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 33,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6592528,2/1/2018 0:00,1/23/2018,2/21/2018,29,A08000848,N         ,2309.09,Basic Water and Sewer,Yes,234,"$2,309.09 ",$0.00 ,1020110061
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 28,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6590456,2/1/2018 0:00,1/23/2018,2/21/2018,29,E98161917,N         ,2388.03,Basic Water and Sewer,Yes,242,"$2,388.03 ",$0.00 ,1020110022
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 26,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6592581,2/1/2018 0:00,1/24/2018,2/21/2018,28,V31841824,N         ,3335.35,Basic Water and Sewer,Yes,338,"$3,335.35 ",$0.00 ,1020110033
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 04,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6590461,2/1/2018 0:00,1/23/2018,2/21/2018,29,V31665692,N         ,1835.43,Basic Water and Sewer,Yes,186,"$1,835.43 ",$0.00 ,1020130018
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 08,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6590019,2/1/2018 0:00,1/23/2018,2/21/2018,29,V31625178,N         ,3246.54,Basic Water and Sewer,Yes,329,"$3,246.54 ",$0.00 ,1020120056
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 06,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6590017,2/1/2018 0:00,1/23/2018,2/21/2018,29,G13035785,N         ,1983.45,Basic Water and Sewer,Yes,201,"$1,983.45 ",$0.00 ,1020130014
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 17,AMR,BLD 17,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6590054,2/1/2018 0:00,1/23/2018,2/21/2018,29,E20527603,N         ,236.83,Basic Water and Sewer,Yes,24,$236.83 ,$0.00 ,3013300011
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 10,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6585916,2/1/2018 0:00,1/23/2018,2/21/2018,29,E10052406,N         ,3276.14,Basic Water and Sewer,Yes,332,"$3,276.14 ",$0.00 ,1020150005
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 10,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6585916,2/1/2018 0:00,1/23/2018,2/21/2018,29,I13007391,N         ,1835.43,Basic Water and Sewer,Yes,186,"$1,835.43 ",$0.00 ,1020150005
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 04,AMR,BLD 04,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6590062,2/1/2018 0:00,1/23/2018,2/21/2018,29,E20453240,N         ,236.83,Basic Water and Sewer,Yes,24,$236.83 ,$0.00 ,3048180133
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 10,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6585916,2/1/2018 0:00,1/24/2018,2/21/2018,28,K15130328,Y         ,1825.56,Basic Water and Sewer,Yes,185,"$1,825.56 ",$0.00 ,1020150005
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 29,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6590418,2/1/2018 0:00,1/23/2018,2/21/2018,29,E17794141,N         ,986.79,Basic Water and Sewer,Yes,100,$986.79 ,$0.00 ,1020110015
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 07,AMR,BLD 07,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6589302,2/1/2018 0:00,1/23/2018,2/21/2018,29,E20290719,N         ,355.24,Basic Water and Sewer,Yes,36,$355.24 ,$0.00 ,3048180030
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 02,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6592652,2/1/2018 0:00,1/24/2018,2/22/2018,29,V31633777,Y         ,1233.49,Basic Water and Sewer,Yes,125,"$1,233.49 ",$0.00 ,1020120008
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 02,AMR,BLD 02,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6595696,2/1/2018 0:00,1/23/2018,2/21/2018,29,E21207684,N         ,266.43,Basic Water and Sewer,Yes,27,$266.43 ,$0.00 ,3048180135
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 25,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6589299,2/1/2018 0:00,1/23/2018,2/21/2018,29,V31665696,N         ,4697.12,Basic Water and Sewer,Yes,476,"$4,697.12 ",$0.00 ,1020120020
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 44,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6592931,2/1/2018 0:00,1/19/2018,2/21/2018,33,O78610228,N         ,986.79,Basic Water and Sewer,Yes,100,$986.79 ,$0.00 ,1020070045
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 31,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6592936,2/1/2018 0:00,1/22/2018,2/20/2018,29,I13017366,N         ,927.58,Basic Water and Sewer,Yes,94,$927.58 ,$0.00 ,1020110013
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 12,AMR,BLD 12,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6595567,2/1/2018 0:00,1/23/2018,2/21/2018,29,E20179084,N         ,69.08,Basic Water and Sewer,Yes,7,$69.08 ,$0.00 ,3048180025
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 17,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6592941,2/1/2018 0:00,1/23/2018,2/21/2018,29,E14262266,N         ,1736.75,Basic Water and Sewer,Yes,176,"$1,736.75 ",$0.00 ,1020120003
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 07,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6592953,2/1/2018 0:00,1/23/2018,2/21/2018,29,V31625180,N         ,2249.88,Basic Water and Sewer,Yes,228,"$2,249.88 ",$0.00 ,1020120052
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 14,AMR,BLD 14,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6595459,2/1/2018 0:00,1/23/2018,2/21/2018,29,E20231894,N         ,148.02,Basic Water and Sewer,Yes,15,$148.02 ,$0.00 ,3013300008
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 16,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6592946,2/1/2018 0:00,1/23/2018,2/21/2018,29,A08000393,N         ,720.36,Basic Water and Sewer,Yes,73,$720.36 ,$0.00 ,1020120064
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 10,AMR,BLD 10,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6593789,2/1/2018 0:00,1/23/2018,2/21/2018,29,E20290492,N         ,315.77,Basic Water and Sewer,Yes,32,$315.77 ,$0.00 ,3048180027
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 02,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6592962,2/1/2018 0:00,1/23/2018,2/21/2018,29,V31665671,N         ,3739.93,Basic Water and Sewer,Yes,379,"$3,739.93 ",$0.00 ,1020130024
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 34,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6595363,2/1/2018 0:00,1/23/2018,2/21/2018,29,O78224451,N         ,2575.52,Basic Water and Sewer,Yes,261,"$2,575.52 ",$0.00 ,1020110063
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 16,AMR,BLD 16,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6593788,2/1/2018 0:00,1/23/2018,2/21/2018,29,E20312472,N         ,453.92,Basic Water and Sewer,Yes,46,$453.92 ,$0.00 ,3013300010
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 22,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6593516,2/1/2018 0:00,1/23/2018,2/21/2018,29,V31665698,N         ,2032.79,Basic Water and Sewer,Yes,206,"$2,032.79 ",$0.00 ,1020120014
